feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
SGB4037	detect_worthy_lesions	positive	-0.0276614967610507	0.00661519700582345	1034	93	3.17380870554056e-5	0.00690425463020669
SGB14809	detect_worthy_lesions	positive	-0.0306508378531795	0.00893266187403263	1034	231	6.2750331567862e-4	0.0516867779632762
SGB4742	detect_worthy_lesions	positive	-0.0265064510314731	0.00775936255813482	1034	46	6.6327362241389e-4	0.0530869189864101
SGB15271	detect_worthy_lesions	positive	-0.0594490237092671	0.0179093945955732	1034	342	9.3759602954699e-4	0.0652013501203008
SGB4761	detect_worthy_lesions	positive	-0.00395943661592827	0.0012479034432702	1034	8	0.00155968930236945	0.088216026942016
SGB713	detect_worthy_lesions	positive	0.0603982859504661	0.0203862533665181	1034	98	0.00312841490402437	0.119556180386229
SGB6705	detect_worthy_lesions	positive	-0.0116332885060122	0.00410975928888209	1034	21	0.00474700752022495	0.14724603684118
SGB4699	detect_worthy_lesions	positive	-0.0125375476798861	0.00491719928576173	1034	72	0.0109424104249525	0.219863562505435
SGB14322	detect_worthy_lesions	positive	0.0430777669945278	0.0189653993889445	1034	425	0.0233548155946783	0.303899164885354
SGB14899	detect_worthy_lesions	positive	0.00585887781281216	0.00269335490710167	1034	110	0.0298621220273995	0.335119369418594
SGB9203	detect_worthy_lesions	positive	0.00702554083296244	0.00350433284049373	1034	58	0.0452766428261916	0.411440871369821
SGB10068	detect_worthy_lesions	positive	-0.0712171766984873	0.0356100530092841	1034	288	0.0458040269852434	0.41432529596078
SGB4953	detect_worthy_lesions	positive	0.00467806676088188	0.00418101495398697	1034	76	0.263483358155286	0.775284640768607
SGB4909	final_result_cat_neg	Cancer	0.113953312366112	0.0212900465803555	1034	65	1.09816089804558e-7	1.8855422619442e-4
SGB101324	final_result_cat_neg	Advanced adenoma	0.0436063338284206	0.0120235380480785	1034	73	3.0291106777796e-4	0.0421701327060619
SGB4037	final_result_cat_neg	Advanced adenoma	-0.0272828104974636	0.0078507748087411	1034	93	5.3455283174116e-4	0.0573642007562234
SGB6571	final_result_cat_neg	Cancer	0.118247856576198	0.0375405960137298	1034	173	0.00168659991928559	0.104670797400483
SGB4742	final_result_cat_neg	Advanced adenoma	-0.0288172149505407	0.00920335526345299	1034	46	0.00179655978006971	0.106368729047575
SGB14809	final_result_cat_neg	Advanced adenoma	-0.033028197323904	0.0106004961728578	1034	231	0.00189228625381996	0.107111719707985
SGB63101	final_result_cat_neg	>= 3 Non-advanced adenomas	-0.00538390389185003	0.00199240214380443	1034	13	0.00701566112980224	0.19533875934925
SGB15123	final_result_cat_neg	Cancer	0.00582658014485059	0.00225052616848072	1034	2	0.00977905279007558	0.233744319822178
SGB10068	final_result_cat_neg	>= 3 Non-advanced adenomas	-0.129089882763195	0.0537689156891012	1034	288	0.0165572333937487	0.292373859228704
SGB15132	final_result_cat_neg	Advanced serrated	-0.044680828000011	0.019505264891777	1034	278	0.022207563505457	0.32891464689155
SGB4699	final_result_cat_neg	Advanced adenoma	-0.0127539180318821	0.00583072628727036	1034	72	0.0289690015614322	0.361927861615983
SGB6705	final_result_cat_neg	>= 3 Non-advanced adenomas	-0.0131217306995739	0.00620895330433471	1034	21	0.0348410536973692	0.391128097999764
SGB8007_group	final_result_cat_neg	Cancer	-0.108291742767709	0.0541738863325725	1034	356	0.0459081062243629	0.449000217085862
SGB8071	final_result_cat_neg	Cancer	-0.0689110814583568	0.035427638960822	1034	252	0.0520669760286876	0.470614361727785
SGB14899	final_result_cat_neg	Advanced adenoma	0.00529223297687082	0.00318996323437752	1034	110	0.0974539355626637	0.596351291532923
SGB9203	final_result_cat_neg	Advanced adenoma	0.00684190070340079	0.00415869387480313	1034	58	0.100271911002961	0.601631466017765
SGB14042	final_result_cat_neg	Cancer	0.00822156403742101	0.00634999070516192	1034	38	0.195738518316288	0.736210218784414
SGB4953	final_result_cat_neg	Advanced adenoma	0.00628210233868686	0.00496083641899657	1034	76	0.205714606405775	0.749750926652302
SGB10068	final_result_cat_neg	Advanced adenoma	-0.0476766599459049	0.0422150301360318	1034	288	0.25903571046429	0.788138157286673
SGB1776	final_result_cat_neg	>= 3 Non-advanced adenomas	0.0015209532118515	0.00157497240296792	1034	4	0.3344492897525	0.841802243594004
SGB72479	final_result_cat_neg	Advanced adenoma	-5.90789552051692e-5	0.00111755851844671	1034	0	0.95785158874583	0.992195309841817
