feature	metadata	value	coef	stderr	pval	name	qval	N	N.not.zero	model	dataset	strat	outcome
SGB15317	distal_acn	distal_acn	0.69733022256777355	0.16641940681462808	3.056259256109872e-5	distal_acn	0.002732453258902781	1034	566	distal_acn,proximal_acn,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning	metaphlan	no_strat	lesion_loc_overall
SGB4348	distal_acn	distal_acn	0.8406113047756562	0.20167421840528738	3.361033884115696e-5	distal_acn	0.0029447516150951014	1034	326	distal_acn,proximal_acn,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning	metaphlan	no_strat	lesion_loc_overall
SGB4742	distal_acn	distal_acn	-0.4586176962219572	0.11500119886291396	7.194901116810392e-5	distal_acn	0.005079739895285938	1034	196	distal_acn,proximal_acn,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning	metaphlan	no_strat	lesion_loc_overall
SGB15090	distal_acn	distal_acn	0.5100890957907132	0.1304873463974716	9.945143058812811e-5	distal_acn	0.006634961497585941	1034	277	distal_acn,proximal_acn,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning	metaphlan	no_strat	lesion_loc_overall
SGB4777	distal_acn	distal_acn	0.5508785326301076	0.1453807339891944	1.609770428601742e-4	distal_acn	0.009310195913627821	1034	501	distal_acn,proximal_acn,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning	metaphlan	no_strat	lesion_loc_overall
SGB15318	distal_acn	distal_acn	0.573853846547376	0.15165401726591887	1.643560921840454e-4	distal_acn	0.009411003955609275	1034	810	distal_acn,proximal_acn,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning	metaphlan	no_strat	lesion_loc_overall
SGB14809	distal_acn	distal_acn	-0.5864871306217074	0.15813930096720233	2.2085003063132693e-4	distal_acn	0.011471581591078639	1034	552	distal_acn,proximal_acn,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning	metaphlan	no_strat	lesion_loc_overall
SGB15244	distal_acn	distal_acn	0.45146071906555135	0.12253733276469177	2.4277705444168302e-4	distal_acn	0.012260241249304993	1034	310	distal_acn,proximal_acn,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning	metaphlan	no_strat	lesion_loc_overall
SGB4959	distal_acn	distal_acn	0.6313252315775922	0.17354838981119525	2.9035850610667865e-4	distal_acn	0.013800568996129197	1034	688	distal_acn,proximal_acn,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning	metaphlan	no_strat	lesion_loc_overall
SGB9203	distal_acn	distal_acn	0.41318315776733505	0.11658203833678016	4.1376394375809656e-4	distal_acn	0.017014948598919364	1034	248	distal_acn,proximal_acn,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning	metaphlan	no_strat	lesion_loc_overall
SGB14899	distal_acn	distal_acn	0.47645985260111773	0.13484104474669245	4.305585952442259e-4	distal_acn	0.017590011823685456	1034	519	distal_acn,proximal_acn,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning	metaphlan	no_strat	lesion_loc_overall
SGB13979	distal_acn	distal_acn	0.3118047675545597	0.08922332742965682	4.973714271398213e-4	distal_acn	0.01890683253262168	1034	130	distal_acn,proximal_acn,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning	metaphlan	no_strat	lesion_loc_overall
