feature	metadata	value	coef	stderr	pval	name	qval	N	N.not.zero	model	dataset	strat
SGB4742	detect_worthy_lesions	positive	-1.0767134489817964	0.2367650627419019	6.154464671928448e-6	detect_worthy_lesionspositive	8.421690044619508e-4	1034	196	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4037	detect_worthy_lesions	positive	-1.020729389690775	0.26210235171232155	1.0559673031072362e-4	detect_worthy_lesionspositive	0.007416790017305954	1034	352	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB6705	detect_worthy_lesions	positive	-0.664365463879493	0.17117716886760154	1.1141369134854185e-4	detect_worthy_lesionspositive	0.0076228528822663635	1034	126	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB15271	detect_worthy_lesions	positive	-0.9800226743182439	0.26494593396579774	2.293798321097147e-4	detect_worthy_lesionspositive	0.013261184447372338	1034	918	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB10068	detect_worthy_lesions	positive	-1.3250350094475394	0.35955291254815375	2.4190811840175253e-4	detect_worthy_lesionspositive	0.013591711765036216	1034	568	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB14809	detect_worthy_lesions	positive	-1.1970774666626929	0.3265941614570171	2.612139641659794e-4	detect_worthy_lesionspositive	0.014297672722478512	1034	552	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4699	detect_worthy_lesions	positive	-0.8225241739108299	0.23583498334634903	5.10345642953596e-4	detect_worthy_lesionspositive	0.021328928250336495	1034	300	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB9203	detect_worthy_lesions	positive	0.8379054326935849	0.2414407843521553	5.438609484525541e-4	detect_worthy_lesionspositive	0.022013825015503204	1034	248	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB14899	detect_worthy_lesions	positive	0.9634516012318745	0.2792222425316855	5.851373866996381e-4	detect_worthy_lesionspositive	0.022772043985136377	1034	519	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
SGB4953	detect_worthy_lesions	positive	0.8330584150152897	0.24693517082825123	7.730571469457676e-4	detect_worthy_lesionspositive	0.028028277071315777	1034	220	detect_worthy_lesions,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat
