feature	metadata	value	coef	stderr	pval	name	qval	N	N.not.zero	model	dataset	strat
SGB14809	detect_worthy_lesions	positive	-1.2489204848887854	0.3028682399396879	4.0289527142124554e-5	detect_worthy_lesionspositive	0.01220772672406374	1034	552	detect_worthy_lesions	metaphlan	no_strat
SGB4742	detect_worthy_lesions	positive	-0.913567723814018	0.21551019627365858	2.445295047090553e-5	detect_worthy_lesionspositive	0.01220772672406374	1034	196	detect_worthy_lesions	metaphlan	no_strat
SGB4699	detect_worthy_lesions	positive	-0.862461454034252	0.2180878035860165	8.187701500935754e-5	detect_worthy_lesionspositive	0.016539157031890222	1034	300	detect_worthy_lesions	metaphlan	no_strat
SGB10068	detect_worthy_lesions	positive	-1.2015542086702915	0.32953221575976394	2.7938531373619164e-4	detect_worthy_lesionspositive	0.03386150002482643	1034	568	detect_worthy_lesions	metaphlan	no_strat
SGB15271	detect_worthy_lesions	positive	-0.8923578162991282	0.24194609683938006	2.375766028825413e-4	detect_worthy_lesionspositive	0.03386150002482643	1034	918	detect_worthy_lesions	metaphlan	no_strat
SGB4348	detect_worthy_lesions	positive	1.3222846923818101	0.3804722937794361	5.313489138728494e-4	detect_worthy_lesionspositive	0.04131014098802215	1034	326	detect_worthy_lesions	metaphlan	no_strat
SGB4037	detect_worthy_lesions	positive	-0.8509523682630816	0.24535050516812262	5.453483958814806e-4	detect_worthy_lesionspositive	0.04131014098802215	1034	352	detect_worthy_lesions	metaphlan	no_strat
SGB713	detect_worthy_lesions	positive	0.7539495070495212	0.2135557728994011	4.3315269155283536e-4	detect_worthy_lesionspositive	0.04131014098802215	1034	123	detect_worthy_lesions	metaphlan	no_strat
SGB15350	detect_worthy_lesions	positive	0.7986169397511783	0.23340932637075193	6.471087970627447e-4	detect_worthy_lesionspositive	0.04357199233555814	1034	681	detect_worthy_lesions	metaphlan	no_strat
SGB15090	detect_worthy_lesions	positive	0.7697876447570078	0.2457797986536211	0.0017849494427094957	detect_worthy_lesionspositive	0.05693049275168181	1034	277	detect_worthy_lesions	metaphlan	no_strat
SGB4811	detect_worthy_lesions	positive	0.7559212125421353	0.23868158652440427	0.0015850181122545718	detect_worthy_lesionspositive	0.05693049275168181	1034	932	detect_worthy_lesions	metaphlan	no_strat
