Model	Resid. df	Resid. Dev	Test	   Df	LR stat.	Pr(Chi)	var_id	model_complexity
senter + age_invitation + kjonn	2823	2319.046254854009		NA	NA	NA	Alko	host_assoc_model
value + senter + age_invitation + kjonn	2817	2304.5660171479876	1 vs 2	6	14.480237706021398	0.024708295035361205	Alko	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	Alko	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2219.2854486493566	1 vs 2	6	14.352891932269813	0.025933211107920462	Alko	standard_model
senter + age_invitation + kjonn	3033	2490.0579351149772		NA	NA	NA	Arbeid_lump	host_assoc_model
value + senter + age_invitation + kjonn	3027	2474.331759553736	1 vs 2	6	15.726175561241234	0.01530164653870758	Arbeid_lump	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	Arbeid_lump	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2219.3075578712014	1 vs 2	6	14.330782710424955	0.026151672007750926	Arbeid_lump	standard_model
senter + age_invitation + kjonn	2814	2306.5044702684627		NA	NA	NA	BMI	host_assoc_model
value + senter + age_invitation + kjonn	2808	2291.12689492144	1 vs 2	6	15.377575347022685	0.01751479955620716	BMI	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2222.6058987750685		NA	NA	NA	BMI	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2742	2210.764308999803	1 vs 2	6	11.841589775265675	0.06559749272095883	BMI	standard_model
senter + age_invitation + kjonn	3033	2490.0579351149772		NA	NA	NA	Blindtarm	host_assoc_model
value + senter + age_invitation + kjonn	3027	2477.7098265132563	1 vs 2	6	12.348108601720924	0.05463852655613488	Blindtarm	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	Blindtarm	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2225.5163067706944	1 vs 2	6	8.122033810931953	0.22929847346390142	Blindtarm	standard_model
senter + age_invitation + kjonn	3033	2490.0579351149772		NA	NA	NA	Bowel_disorder_merged	host_assoc_model
value + senter + age_invitation + kjonn	3018	2466.577619760255	1 vs 2	15	23.48031535472228	0.07446067769829956	Bowel_disorder_merged	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	Bowel_disorder_merged	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2739	2213.015509570702	1 vs 2	15	20.62283101092453	0.14931894183742522	Bowel_disorder_merged	standard_model
senter + age_invitation + kjonn	2823	2319.046254854009		NA	NA	NA	Ca	host_assoc_model
value + senter + age_invitation + kjonn	2817	2309.5320495292553	1 vs 2	6	9.514205324753675	0.1466573742005821	Ca	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	Ca	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2225.083355635718	1 vs 2	6	8.554984945908473	0.2001951024094728	Ca	standard_model
senter + age_invitation + kjonn	2823	2319.046254854009		NA	NA	NA	Energi_kcal	host_assoc_model
value + senter + age_invitation + kjonn	2817	2311.082955875547	1 vs 2	6	7.963298978461808	0.2408044702210339	Energi_kcal	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	Energi_kcal	standard_model
