dataset	alg	predictor	rep	fold	auroc	sensitivity	specificity	selection	included_in_training	primary_model
hum-kegg	rf	primary_prob	Repeat01	Fold1	0.6594059405940594	0.801980198019802	0.47692307692307695	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat01	Fold2	0.6013081395348837	0.7674418604651163	0.35	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat01	Fold3	0.4856678486997636	0.851063829787234	0.125	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat01	Fold4	0.5551075268817204	0.7311827956989247	0.2777777777777778	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat01	Fold5	0.5067425831585256	0.8191489361702128	0.19718309859154928	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat02	Fold1	0.5712209302325582	0.7325581395348837	0.375	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat02	Fold2	0.5321428571428571	0.875	0.14285714285714285	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat02	Fold3	0.5775810324129652	0.8877551020408163	0.20588235294117646	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat02	Fold4	0.5962534267438319	0.9081632653061225	0.19402985074626866	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat02	Fold5	0.5645925925925925	0.8222222222222222	0.29333333333333333	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat03	Fold1	0.5673832468495181	0.9157894736842105	0.22535211267605634	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat03	Fold2	0.5640913720355012	0.8160919540229885	0.20253164556962025	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat03	Fold3	0.5812164319930323	0.7469879518072289	0.39759036144578314	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat03	Fold4	0.5482539682539682	0.8	0.21666666666666667	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat03	Fold5	0.5633566859579653	0.7653061224489796	0.34328358208955223	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat04	Fold1	0.5917745620715917	0.6831683168316832	0.4307692307692308	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat04	Fold2	0.5746388443017656	0.8202247191011236	0.24675324675324675	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat04	Fold3	0.531653076352854	0.7578947368421053	0.28169014084507044	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat04	Fold4	0.5501770956316411	0.6022727272727273	0.5064935064935064	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat04	Fold5	0.5529323308270677	0.8842105263157894	0.15714285714285714	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat05	Fold1	0.5821212121212122	0.86	0.2878787878787879	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat05	Fold2	0.5658608058608059	0.8901098901098901	0.24	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat05	Fold3	0.5999410811607011	0.5591397849462365	0.5616438356164384	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat05	Fold4	0.5784962406015037	0.7263157894736842	0.35714285714285715	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat05	Fold5	0.5419869899467771	0.7191011235955056	0.3157894736842105	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat06	Fold1	0.5729291716686675	0.7959183673469388	0.3235294117647059	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat06	Fold2	0.650117508813161	0.7282608695652174	0.44594594594594594	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat06	Fold3	0.6187965260545906	0.8269230769230769	0.3870967741935484	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat06	Fold4	0.5653834851601528	0.8554216867469879	0.24390243902439024	all	all	rf_hum-kegg
