dataset	data_type	model_type	ext_comp	alg	sec_add_var	sec_alg	predictor	rep	fold	auroc	sensitivity	specificity	selection	primary_model	secondary_model
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold1	0.6390584132519617	0.8924731182795699	0.21621621621621623	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold2	0.5407563025210084	0.803921568627451	0.24285714285714285	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold3	0.5636094674556213	0.9487179487179487	0.07692307692307693	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold4	0.6017595307917889	0.7454545454545455	0.45161290322580644	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold5	0.5654798761609907	0.5058823529411764	0.6052631578947368	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold1	0.6918449197860963	0.6590909090909091	0.6470588235294118	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold2	0.6281875095434417	0.8288288288288288	0.3220338983050847	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold3	0.577639751552795	0.8478260869565217	0.2597402597402597	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold4	0.6164858348402652	0.8987341772151899	0.21428571428571427	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold5	0.576530612244898	0.8061224489795918	0.3472222222222222	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold1	0.6083980518625773	0.8037383177570093	0.23943661971830985	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold2	0.5312698412698412	0.9	0.14285714285714285	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold3	0.5893274853801169	0.9157894736842105	0.2222222222222222	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold4	0.588433734939759	0.7831325301204819	0.37333333333333335	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold5	0.6290986731737075	0.8433734939759037	0.3670886075949367	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold1	0.6074414715719063	0.8043478260869565	0.28205128205128205	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold2	0.5892857142857143	0.8557692307692307	0.36507936507936506	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold3	0.5709576138147567	0.8979591836734694	0.18461538461538463	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold4	0.6219936708860759	0.7721518987341772	0.35	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold5	0.559601706970128	0.7684210526315789	0.28378378378378377	all	rf_mags-distal	log_reg_mags-distal_fit
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold1	0.5484984984984985	0.9333333333333333	0.10810810810810811	all	rf_mags-distal	log_reg_mags-distal_fit
