dataset	data_type	model_type	ext_comp	alg	sec_add_var	sec_alg	predictor	rep	fold	auroc	sensitivity	specificity	selection	included_in_training	primary_model
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold1	NA	0.8787878787878788	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold2	NA	0.8157894736842105	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold3	NA	NA	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold4	NA	0.7894736842105263	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold5	NA	0.5185185185185185	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold1	NA	NA	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold2	NA	0.9444444444444444	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold3	NA	0.8285714285714286	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold4	NA	0.8620689655172413	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold5	NA	0.6944444444444444	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold1	NA	0.8863636363636364	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold2	NA	0.8620689655172413	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold3	NA	0.9090909090909091	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold4	NA	0.7916666666666666	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold5	NA	0.8214285714285714	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold1	NA	0.8888888888888888	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold2	NA	0.9696969696969697	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold3	NA	0.7586206896551724	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold4	NA	0.56	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold5	NA	0.7428571428571429	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold1	NA	0.8	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold2	NA	0.7692307692307693	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold3	NA	0.6551724137931034	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold4	NA	0.7837837837837838	NA	all	external	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold5	NA	0.75	NA	all	external	rf_mags-distal
