dataset	data_type	model_type	ext_comp	alg	sec_add_var	sec_alg	predictor	rep	fold	auroc	sensitivity	specificity	selection	included_in_training	primary_model
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold1	0.6551801801801802	0.8333333333333334	0.36486486486486486	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold2	0.5325892857142858	0.546875	0.5285714285714286	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold3	0.5226648351648352	0.9464285714285714	0.07692307692307693	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold4	0.568100358422939	0.6944444444444444	0.46774193548387094	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat01	Fold5	0.5741833030852994	0.1724137931034483	0.8289473684210527	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold1	0.6851604278074866	0.6515151515151515	0.6470588235294118	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold2	0.6153672316384181	0.6533333333333333	0.5084745762711864	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold3	0.5917065390749601	0.631578947368421	0.4935064935064935	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold4	0.5942857142857143	0.94	0.10714285714285714	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat02	Fold5	0.592741935483871	0.8548387096774194	0.18055555555555555	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold1	0.5662866085401297	0.6190476190476191	0.4507042253521127	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold2	0.5182204337133914	0.9014084507042254	0.14285714285714285	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold3	0.5913978494623656	0.9193548387096774	0.1527777777777778	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold4	0.5884745762711864	0.4576271186440678	0.6266666666666667	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat03	Fold5	0.6395857307249713	0.7818181818181819	0.46835443037974683	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold1	0.5789835164835165	0.5892857142857143	0.48717948717948717	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold2	0.5533199195171026	0.676056338028169	0.47619047619047616	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold3	0.572129319955407	0.9565217391304348	0.16923076923076924	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold4	0.6409722222222223	0.9074074074074074	0.225	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat04	Fold5	0.5470720720720721	0.7166666666666667	0.33783783783783783	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold1	0.5583333333333333	0.9666666666666667	0.10810810810810811	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold2	0.6544117647058824	0.5151515151515151	0.7352941176470589	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold3	0.5381175944556226	0.7142857142857143	0.352112676056338	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold4	0.6438172043010753	0.7361111111111112	0.43548387096774194	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat05	Fold5	0.5783913565426171	0.7551020408163265	0.38823529411764707	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold1	0.5162946428571429	0.875	0.1	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold2	0.5905084745762712	0.6101694915254238	0.52	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold3	0.5887387387387387	0.55	0.4864864864864865	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold4	0.5956541218637993	0.6774193548387096	0.3888888888888889	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat06	Fold5	0.5674470457079153	0.8461538461538461	0.21739130434782608	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold1	0.6171120592858746	0.7213114754098361	0.3972602739726027	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold2	0.589795008912656	0.5	0.6176470588235294	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold3	0.6497685185185185	0.8148148148148148	0.35	all	internal	rf_mags-distal
mags-distal	mag-based	feature-strat	FALSE	rf	fit	log_reg	primary_prob	Repeat07	Fold4	0.5689693717862732	0.9523809523809523	0.08450704225352113	all	internal	rf_mags-distal
