primary_alg	primary_dataset	sec_add_var	sec_alg	predictor	rep	fold	auroc	sensitivity	specificity	selection	primary_model	secondary_model
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold1	0.6903274942878903	0.9504950495049505	0.18461538461538463	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold2	0.6093023255813953	0.7674418604651163	0.45	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold3	0.5768321513002364	0.8829787234042553	0.18055555555555555	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold4	0.6523297491039427	0.8494623655913979	0.2916666666666667	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold5	0.549745280191789	0.851063829787234	0.2535211267605634	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat02	Fold1	0.6258720930232559	0.8837209302325582	0.225	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat02	Fold2	0.6241071428571429	0.9270833333333334	0.12857142857142856	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat02	Fold3	0.6659663865546218	0.9897959183673469	0.08823529411764706	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat02	Fold4	0.6302162656107219	0.8469387755102041	0.31343283582089554	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat02	Fold5	0.573925925925926	0.9	0.21333333333333335	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat03	Fold1	0.6753150481838399	0.8210526315789474	0.352112676056338	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat03	Fold2	0.6909646442601484	0.7931034482758621	0.379746835443038	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat03	Fold3	0.5865873131078531	0.8554216867469879	0.3132530120481928	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat03	Fold4	0.6223809523809524	0.7714285714285715	0.4	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat03	Fold5	0.5438623210478221	0.8469387755102041	0.2835820895522388	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat04	Fold1	0.5955826351865956	0.9405940594059405	0.2153846153846154	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat04	Fold2	0.6305267765941923	0.6966292134831461	0.5194805194805194	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat04	Fold3	0.5865085248332098	0.9157894736842105	0.09859154929577464	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat04	Fold4	0.6077331759149941	0.375	0.6883116883116883	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat04	Fold5	0.6834586466165413	0.7789473684210526	0.44285714285714284	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat05	Fold1	0.6096969696969697	0.77	0.3939393939393939	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat05	Fold2	0.6518681318681319	0.9560439560439561	0.12	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat05	Fold3	0.605243776697599	0.7956989247311828	0.3424657534246575	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat05	Fold4	0.6912781954887218	0.8526315789473684	0.3	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat05	Fold5	0.624334713187463	0.8539325842696629	0.40789473684210525	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat06	Fold1	0.6122448979591837	0.8673469387755102	0.3382352941176471	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat06	Fold2	0.7206227967097533	0.9239130434782609	0.16216216216216217	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat06	Fold3	0.6206575682382134	0.9038461538461539	0.1935483870967742	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat06	Fold4	0.594916250367323	0.6024096385542169	0.5121951219512195	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat06	Fold5	0.5928125928125928	0.8681318681318682	0.3108108108108108	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat07	Fold1	0.5975091575091575	0.6813186813186813	0.41333333333333333	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat07	Fold2	0.5908086610693769	0.8924731182795699	0.1643835616438356	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat07	Fold3	0.6372329299267891	0.6494845360824743	0.4782608695652174	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat07	Fold4	0.6684782608695652	0.875	0.2898550724637681	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat07	Fold5	0.6401841401841402	0.945054945054945	0.13513513513513514	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat08	Fold1	0.6343941431346183	0.711340206185567	0.4492753623188406	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat08	Fold2	0.6566860465116279	0.9534883720930233	0.1125	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat08	Fold3	0.6618181818181819	0.93	0.18181818181818182	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat08	Fold4	0.6610526315789473	0.6210526315789474	0.5857142857142857	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat08	Fold5	0.6060740740740741	0.8888888888888888	0.16	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat09	Fold1	0.6399223068877932	0.9381443298969072	0.10144927536231885	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat09	Fold2	0.6383040935672515	0.6111111111111112	0.5789473684210527	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat09	Fold3	0.6606933019976499	0.8260869565217391	0.43243243243243246	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat09	Fold4	0.6536738351254481	0.8494623655913979	0.3888888888888889	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat09	Fold5	0.5369867149758454	0.8958333333333334	0.13043478260869565	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat10	Fold1	0.638095238095238	0.9010989010989011	0.18666666666666668	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat10	Fold2	0.671109068627451	0.8823529411764706	0.34375	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat10	Fold3	0.611046511627907	0.7441860465116279	0.375	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat10	Fold4	0.5881030866047348	0.8829787234042553	0.23943661971830985	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat10	Fold5	0.6276691729323308	0.7894736842105263	0.4714285714285714	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat11	Fold1	0.54444942477215	0.9587628865979382	0.043478260869565216	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat11	Fold2	0.631601920558708	0.9655172413793104	0.08860759493670886	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat11	Fold3	0.6400058918839299	0.8387096774193549	0.3835616438356164	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat11	Fold4	0.6393417874396136	0.8020833333333334	0.43478260869565216	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat11	Fold5	0.6326315789473684	0.7473684210526316	0.44285714285714284	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat12	Fold1	0.5894829871851525	0.7526881720430108	0.3561643835616438	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat12	Fold2	0.6751488095238095	0.625	0.6285714285714286	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat12	Fold3	0.539766081871345	0.7111111111111111	0.3815789473684211	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat12	Fold4	0.6491545893719807	0.8854166666666666	0.30434782608695654	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat12	Fold5	0.6705495818399044	0.9032258064516129	0.3055555555555556	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat13	Fold1	0.575825489317197	0.6185567010309279	0.5507246376811594	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat13	Fold2	0.6309157509157509	0.6263736263736264	0.5066666666666667	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat13	Fold3	0.5937731653076352	0.9368421052631579	0.07042253521126761	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat13	Fold4	0.6228689006466784	0.8452380952380952	0.25925925925925924	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat13	Fold5	0.6938428217821783	0.9702970297029703	0.1875	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat14	Fold1	0.5412483631601921	0.7586206896551724	0.26582278481012656	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat14	Fold2	0.6906580493537016	0.8913043478260869	0.36486486486486486	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat14	Fold3	0.5866666666666667	0.93	0.22727272727272727	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat14	Fold4	0.5999396135265701	0.8125	0.30434782608695654	all	rf_mags	log_reg_mags_fit
