primary_alg	primary_dataset	sec_add_var	sec_alg	predictor	rep	fold	auroc	sensitivity	specificity	selection	primary_model	secondary_model
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold1	0.7469079939668175	0.9215686274509803	0.4307692307692308	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold2	0.5713815789473684	0.7631578947368421	0.45	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold3	0.6002178649237473	0.7647058823529411	0.4583333333333333	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold4	0.6646825396825397	0.673469387755102	0.5833333333333334	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold5	0.5618819298771351	0.8723404255319149	0.2535211267605634	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat02	Fold1	0.6307692307692307	0.7948717948717948	0.325	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat02	Fold2	0.6619897959183674	0.875	0.4142857142857143	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat02	Fold3	0.6971788715486195	0.8571428571428571	0.39705882352941174	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat02	Fold4	0.6369115958668198	0.7115384615384616	0.5373134328358209	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat02	Fold5	0.5893333333333334	0.8	0.3466666666666667	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat03	Fold1	0.6427230046948357	0.8666666666666667	0.2535211267605634	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat03	Fold2	0.7421254047689138	0.9069767441860465	0.3670886075949367	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat03	Fold3	0.5567533291058973	0.6842105263157895	0.3614457831325301	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat03	Fold4	0.6887755102040817	0.7755102040816326	0.5333333333333333	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat03	Fold5	0.5700843608046723	0.5652173913043478	0.5970149253731343	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat04	Fold1	0.5724508050089445	0.7209302325581395	0.35384615384615387	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat04	Fold2	0.6807359307359307	0.5	0.7272727272727273	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat04	Fold3	0.5852256395515952	0.9591836734693877	0.07042253521126761	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat04	Fold4	0.6794425087108014	0.43902439024390244	0.7922077922077922	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat04	Fold5	0.6638961038961039	0.7636363636363637	0.44285714285714284	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat05	Fold1	0.6149732620320856	0.8431372549019608	0.36363636363636365	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat05	Fold2	0.6691228070175439	0.9210526315789473	0.14666666666666667	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat05	Fold3	0.6140559857057772	0.8478260869565217	0.3424657534246575	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat05	Fold4	0.7283018867924529	0.8113207547169812	0.6	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat05	Fold5	0.6515899122807017	0.8958333333333334	0.4342105263157895	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat06	Fold1	0.6375432525951557	0.9215686274509803	0.35294117647058826	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat06	Fold2	0.7541070482246953	0.8627450980392157	0.527027027027027	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat06	Fold3	0.654965211891208	0.8627450980392157	0.41935483870967744	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat06	Fold4	0.5814991076740036	0.5853658536585366	0.47560975609756095	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat06	Fold5	0.583976833976834	0.9285714285714286	0.24324324324324326	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat07	Fold1	0.6062745098039216	0.39215686274509803	0.7333333333333333	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat07	Fold2	0.6407914764079148	0.8444444444444444	0.4383561643835616	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat07	Fold3	0.6645081714461918	0.574468085106383	0.5652173913043478	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat07	Fold4	0.6571076164045636	0.8297872340425532	0.36231884057971014	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat07	Fold5	0.668918918918919	0.9782608695652174	0.13513513513513514	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat08	Fold1	0.6163856847086661	0.6938775510204082	0.43478260869565216	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat08	Fold2	0.6625	0.9487179487179487	0.1125	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat08	Fold3	0.668997668997669	0.9423076923076923	0.19696969696969696	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat08	Fold4	0.6663265306122449	0.625	0.6285714285714286	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat08	Fold5	0.6933333333333334	0.725	0.6133333333333333	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat09	Fold1	0.6939130434782609	0.88	0.34782608695652173	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat09	Fold2	0.6732456140350878	0.7916666666666666	0.5	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat09	Fold3	0.6862673484295106	0.7297297297297297	0.6081081081081081	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat09	Fold4	0.6574074074074074	0.6296296296296297	0.625	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat09	Fold5	0.5417823003391921	0.8936170212765957	0.14492753623188406	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat10	Fold1	0.6695424836601307	0.9019607843137255	0.26666666666666666	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat10	Fold2	0.7220552884615384	0.7884615384615384	0.59375	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat10	Fold3	0.6199324324324325	0.5135135135135135	0.5875	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat10	Fold4	0.5779864371413667	0.7962962962962963	0.36619718309859156	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat10	Fold5	0.6115646258503401	0.9047619047619048	0.34285714285714286	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat11	Fold1	0.5449275362318841	0.9	0.08695652173913043	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat11	Fold2	0.6364939097205636	0.8490566037735849	0.34177215189873417	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat11	Fold3	0.6371455877668046	0.7674418604651163	0.4794520547945205	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat11	Fold4	0.6408695652173914	0.88	0.43478260869565216	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat11	Fold5	0.6971428571428572	0.78	0.5142857142857142	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat12	Fold1	0.5782778864970646	0.3392857142857143	0.726027397260274	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat12	Fold2	0.6652014652014652	0.6153846153846154	0.6285714285714286	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat12	Fold3	0.6097424412094065	0.8297872340425532	0.4605263157894737	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat12	Fold4	0.6916435399321615	0.8936170212765957	0.36231884057971014	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat12	Fold5	0.6976950354609929	0.851063829787234	0.4722222222222222	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat13	Fold1	0.6309921962095875	0.6923076923076923	0.5507246376811594	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat13	Fold2	0.6507246376811594	0.717391304347826	0.49333333333333335	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat13	Fold3	0.6112676056338028	0.6444444444444445	0.6338028169014085	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat13	Fold4	0.6193917494730503	0.9024390243902439	0.16049382716049382	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat13	Fold5	0.6814903846153846	0.9615384615384616	0.140625	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat14	Fold1	0.5294909776461083	0.7659574468085106	0.22784810126582278	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat14	Fold2	0.7007251153592617	0.7317073170731707	0.4594594594594595	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat14	Fold3	0.6096837944664032	0.717391304347826	0.5303030303030303	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat14	Fold4	0.6276477146042363	0.8076923076923077	0.3333333333333333	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat14	Fold5	0.6302777777777778	0.96	0.041666666666666664	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat15	Fold1	0.6497584541062802	0.7962962962962963	0.37681159420289856	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat15	Fold2	0.6074870274277242	0.868421052631579	0.30985915492957744	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat15	Fold3	0.6684931506849315	0.9	0.3150684931506849	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat15	Fold4	0.5979651162790698	0.8372093023255814	0.2125	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat15	Fold5	0.6903716710564822	0.8823529411764706	0.31343283582089554	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat16	Fold1	0.6592442645074224	0.8947368421052632	0.32051282051282054	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat16	Fold2	0.7001371742112482	0.7555555555555555	0.5432098765432098	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat16	Fold3	0.6672833795868024	0.5106382978723404	0.7101449275362319	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat16	Fold4	0.5556561085972851	0.9019607843137255	0.1076923076923077	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat16	Fold5	0.6610583446404342	0.7454545454545455	0.4925373134328358	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat17	Fold1	0.69358372456964	0.8444444444444444	0.5352112676056338	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat17	Fold2	0.5427295918367346	0.6530612244897959	0.40625	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat17	Fold3	0.6707946336429309	0.5490196078431373	0.7105263157894737	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat17	Fold4	0.6482294410301433	0.9215686274509803	0.2835820895522388	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat17	Fold5	0.6533536585365853	0.775	0.47560975609756095	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat18	Fold1	0.7036363636363636	0.92	0.2727272727272727	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat18	Fold2	0.6298046628859483	0.7391304347826086	0.4782608695652174	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat18	Fold3	0.6783935242839352	0.5227272727272727	0.7671232876712328	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat18	Fold4	0.5753623188405798	0.6956521739130435	0.4266666666666667	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat18	Fold5	0.5903896103896104	0.96	0.025974025974025976	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat19	Fold1	0.6811643835616438	0.6	0.6438356164383562	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat19	Fold2	0.6578723404255319	0.723404255319149	0.49333333333333335	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat19	Fold3	0.6758241758241759	0.5769230769230769	0.6571428571428571	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat19	Fold4	0.6287100456621004	0.7083333333333334	0.5616438356164384	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat19	Fold5	0.6249630286897367	0.8979591836734694	0.2608695652173913	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat20	Fold1	0.6460118655240606	0.34146341463414637	0.8243243243243243	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat20	Fold2	0.6909153005464481	0.7083333333333334	0.5737704918032787	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat20	Fold3	0.6578947368421052	0.7608695652173914	0.4605263157894737	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat20	Fold4	0.6057516339869281	0.9215686274509803	0.14666666666666667	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat20	Fold5	0.6213513513513513	0.8	0.40540540540540543	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat01	Fold1	0.5705882352941176	0.8823529411764706	0.23076923076923078	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat01	Fold2	0.5796052631578947	0.3157894736842105	0.775	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat01	Fold3	0.556781045751634	0.6274509803921569	0.4444444444444444	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat01	Fold4	0.6539115646258503	0.42857142857142855	0.7638888888888888	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat01	Fold5	0.6363500149835182	0.723404255319149	0.38028169014084506	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat02	Fold1	0.5849358974358975	0.7435897435897436	0.4625	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat02	Fold2	0.582780612244898	0.6785714285714286	0.4857142857142857	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat02	Fold3	0.6310024009603842	0.42857142857142855	0.7352941176470589	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat02	Fold4	0.5927095292766934	0.8269230769230769	0.2835820895522388	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat02	Fold5	0.6031666666666666	0.325	0.8533333333333334	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat03	Fold1	0.6166666666666667	0.9	0.2535211267605634	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat03	Fold2	0.6380629967618487	0.627906976744186	0.5569620253164557	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat03	Fold3	0.5538998097653772	0.42105263157894735	0.6867469879518072	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat03	Fold4	0.6022108843537415	0.4897959183673469	0.65	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat03	Fold5	0.6057754704737184	0.10869565217391304	0.9253731343283582	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat04	Fold1	0.5638640429338104	0.3488372093023256	0.7384615384615385	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat04	Fold2	0.6140422077922078	0.6875	0.5064935064935064	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat04	Fold3	0.5490083357286577	0.8163265306122449	0.22535211267605634	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat04	Fold4	0.6764333227747862	0.2682926829268293	0.8311688311688312	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat04	Fold5	0.6092207792207792	0.7090909090909091	0.4	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat05	Fold1	0.5665478312537136	0.7450980392156863	0.3333333333333333	all	rf_mags	log_reg_mags_fit
