primary_alg	primary_dataset	sec_add_var	sec_alg	predictor	rep	fold	auroc	sensitivity	specificity	selection	primary_model	secondary_model
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold1	0.6632967032967033	0.8857142857142857	0.2	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold2	0.6514705882352941	0.7941176470588235	0.475	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold3	0.6232638888888888	0.875	0.3055555555555556	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold4	0.6703703703703704	0.9666666666666667	0.06944444444444445	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold5	0.5560772039645279	0.7777777777777778	0.352112676056338	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat02	Fold1	0.63375	0.8666666666666667	0.1125	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat02	Fold2	0.6412087912087912	0.8846153846153846	0.22857142857142856	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat02	Fold3	0.6466131907308378	0.9696969696969697	0.1323529411764706	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat02	Fold4	0.6913818006740491	0.8387096774193549	0.43283582089552236	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat02	Fold5	0.5971929824561404	0.9210526315789473	0.17333333333333334	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat03	Fold1	0.7266725352112676	0.65625	0.7183098591549296	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat03	Fold2	0.7514767932489451	0.8	0.4430379746835443	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat03	Fold3	0.5997322623828648	0.7777777777777778	0.30120481927710846	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat03	Fold4	0.6333333333333333	0.7941176470588235	0.35	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat03	Fold5	0.5309168443496801	0.8285714285714286	0.2835820895522388	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat04	Fold1	0.6584615384615384	0.9428571428571428	0.3076923076923077	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat04	Fold2	0.6103896103896104	0.6666666666666666	0.37662337662337664	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat04	Fold3	0.6126760563380281	0.8	0.323943661971831	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat04	Fold4	0.6341991341991342	0.4666666666666667	0.6363636363636364	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat04	Fold5	0.6897321428571429	0.75	0.4714285714285714	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat05	Fold1	0.62004662004662	0.5897435897435898	0.5606060606060606	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat05	Fold2	0.6671264367816092	0.896551724137931	0.22666666666666666	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat05	Fold3	0.6917808219178082	0.40625	0.8356164383561644	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat05	Fold4	0.7108374384236453	0.9310344827586207	0.22857142857142856	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat05	Fold5	0.5794010889292196	0.7586206896551724	0.39473684210526316	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat06	Fold1	0.6606037151702786	0.868421052631579	0.3235294117647059	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat06	Fold2	0.7910602910602911	0.9230769230769231	0.16216216216216217	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat06	Fold3	0.6220575414123801	0.9459459459459459	0.1935483870967742	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat06	Fold4	0.6553748870822041	0.4444444444444444	0.6951219512195121	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat06	Fold5	0.5932432432432433	0.8	0.3783783783783784	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat07	Fold1	0.6504761904761905	0.7142857142857143	0.4533333333333333	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat07	Fold2	0.5463336019339242	0.9411764705882353	0.0410958904109589	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat07	Fold3	0.6546726636681659	0.6206896551724138	0.5507246376811594	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat07	Fold4	0.7010351966873706	0.8857142857142857	0.391304347826087	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat07	Fold5	0.7069256756756757	0.75	0.6216216216216216	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat08	Fold1	0.6556873078612209	0.6666666666666666	0.5942028985507246	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat08	Fold2	0.6929166666666667	0.8333333333333334	0.35	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat08	Fold3	0.6292613636363636	0.90625	0.24242424242424243	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat08	Fold4	0.7226600985221675	0.6896551724137931	0.6285714285714286	all	rf_mags	log_reg_mags_fit
