primary_model	add_var	no_m	secondary_alg	predictor	auroc	ci_low	ci_high
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5601532567049808	0.47729885057471266	0.6350598659003832
rf_mphl	fit	FALSE	log_reg	secondary_pred	0.6135057471264368	0.5378160919540229	0.6907112068965516
rf_mphl	fit	FALSE	log_reg	FIT_value	0.6024425287356322	0.5219300766283526	0.6785069444444444
rf_mphl	fit_demo_wcrf	FALSE	log_reg	primary_pred	0.5713690476190476	0.4830952380952381	0.6551279761904761
rf_mphl	fit_demo_wcrf	FALSE	log_reg	secondary_pred	0.6419047619047619	0.5579434523809524	0.7196428571428571
rf_mphl	fit_demo_wcrf	FALSE	log_reg	FIT_value	0.5785119047619047	0.49836904761904766	0.6602395833333334
rf_mphl	fit_demo_wcrf	TRUE	log_reg	secondary_pred	0.611547619047619	0.5340446428571428	0.6890505952380952
rf_mags	fit	FALSE	log_reg	primary_pred	0.5723659003831418	0.4923299808429119	0.6531657088122605
rf_mags	fit	FALSE	log_reg	secondary_pred	0.6136494252873563	0.5342792145593871	0.6884171455938697
rf_mags	fit	FALSE	log_reg	FIT_value	0.601125478927203	0.5237021072796935	0.6778364463601532
rf_mags	fit_demo_wcrf	FALSE	log_reg	primary_pred	0.5569642857142857	0.47523809523809524	0.6404791666666667
rf_mags	fit_demo_wcrf	FALSE	log_reg	secondary_pred	0.6298214285714285	0.5434255952380952	0.7103601190476191
rf_mags	fit_demo_wcrf	FALSE	log_reg	FIT_value	0.5767857142857142	0.4957738095238095	0.6582842261904762
rf_mags	fit_demo_wcrf	TRUE	log_reg	secondary_pred	0.6105952380952381	0.5283303571428571	0.6892946428571428
