n_vars_requested	n_vars_actual	frac_samples	training_samples	auroc
4	4	0.2	154	0.5144665948275862
4	4	0.2	118	0.5097053781958941
4	4	0.2	119	0.5462459546925567
4	4	0.2	121	0.5630454285947313
4	4	0.2	146	0.490738305631531
4	4	0.2	123	0.5047575653087697
4	4	0.2	138	0.5217061153345012
4	4	0.2	125	0.49948552048863204
4	4	0.2	157	0.4619506092254134
4	4	0.2	139	0.5706953783300707
4	4	0.2	125	0.5216451107999012
4	4	0.2	129	0.5574135500456091
4	4	0.2	121	0.5377650644630254
4	4	0.2	135	0.5734997713453363
4	4	0.2	131	0.5453872532619605
4	4	0.2	152	0.5375782692914095
4	4	0.2	135	0.46409274910655307
4	4	0.2	134	0.5310852817948372
4	4	0.2	121	0.5104355272816247
4	4	0.2	139	0.5277060191165074
4	4	0.2	121	0.5328707264782416
4	4	0.2	127	0.5560226893560227
4	4	0.2	128	0.5336333333333334
4	4	0.2	134	0.5427682868958037
4	4	0.2	128	0.5830318199841396
4	4	0.30000000000000004	230	0.5158426441612283
4	4	0.30000000000000004	189	0.4940163281561131
4	4	0.30000000000000004	191	0.5554307116104868
4	4	0.30000000000000004	210	0.5758672296755573
4	4	0.30000000000000004	204	0.5556394894503777
4	4	0.30000000000000004	191	0.5267181350287617
4	4	0.30000000000000004	186	0.534727147360126
4	4	0.30000000000000004	201	0.5126394628099173
4	4	0.30000000000000004	223	0.5189094253484919
4	4	0.30000000000000004	195	0.5466982091982092
4	4	0.30000000000000004	203	0.4685796645702306
4	4	0.30000000000000004	191	0.5016869906489658
4	4	0.30000000000000004	195	0.5263835848942232
4	4	0.30000000000000004	182	0.5693541332555766
4	4	0.30000000000000004	186	0.5307674031836541
4	4	0.30000000000000004	224	0.5578723404255319
4	4	0.30000000000000004	208	0.48537335192697767
4	4	0.30000000000000004	207	0.5120555156230181
4	4	0.30000000000000004	196	0.5036428484331179
4	4	0.30000000000000004	212	0.546604778539699
4	4	0.30000000000000004	189	0.49596910475357364
4	4	0.30000000000000004	185	0.5183687524596615
4	4	0.30000000000000004	203	0.5065249541743043
4	4	0.30000000000000004	204	0.5125492438683441
4	4	0.30000000000000004	213	0.5513902091254753
4	4	0.4	295	0.529834142394822
4	4	0.4	258	0.47916875
4	4	0.4	259	0.5273397022771501
4	4	0.4	277	0.4817437770562771
4	4	0.4	260	0.5536781695800683
4	4	0.4	253	0.5082622139764997
4	4	0.4	255	0.5429152953403776
4	4	0.4	263	0.5411092530657748
4	4	0.4	287	0.5306085753803595
4	4	0.4	265	0.5493216506500848
4	4	0.4	265	0.48131831647767903
4	4	0.4	251	0.5128166061285683
4	4	0.4	272	0.5010522875816994
4	4	0.4	266	0.5353062142535827
4	4	0.4	262	0.4937758280882446
4	4	0.4	297	0.5077877620881472
4	4	0.4	277	0.4656669507777541
4	4	0.4	270	0.5158898305084746
4	4	0.4	265	0.5103841029057551
4	4	0.4	282	0.5144078812341794
4	4	0.4	263	0.5053996641904955
4	4	0.4	244	0.5875208780720592
4	4	0.4	278	0.515033310545435
4	4	0.4	279	0.5539437585733882
4	4	0.4	278	0.5535329876389434
4	4	0.5	343	0.5163091817186645
4	4	0.5	334	0.5364947552447552
4	4	0.5	331	0.5087567549756162
