sample_id	gr
S_27285357	V1
S_37840265	V3
S_57712482	V3
S_90912570	V1
S_20966510	V2
S_89940577	V1
S_94522850	V3
S_66418980	V1
S_63282289	V2
S_7116840	V1
S_21391482	V4
S_18479118	V1
S_69015261	V4
S_39026267	V3
S_77214299	V4
S_50272224	V2
S_72044231	V3
S_99198702	V1
S_38623482	V3
S_77967076	V2
S_93535816	V2
S_22002109	V2
S_65515702	V2
S_13429954	V2
S_27454845	V3
S_39225294	V1
S_2325642	V3
S_38856407	V1
S_87099392	V2
S_34694550	V2
S_48725930	V3
S_60357016	V2
S_49860588	V2
S_19435542	V2
S_82909957	V2
S_67178206	V2
S_79629745	V4
S_11686418	V2
S_72647382	V1
S_41716168	V1
S_82273682	V3
S_65058958	V1
S_78510342	V1
S_55750594	V3
S_53442237	V2
S_79146266	V2
S_3309789	V2
S_48245775	V1
S_73499059	V2
S_69580423	V2
S_48284342	V1
S_86259737	V1
S_44371613	V1
S_25234930	V1
S_7997225	V3
S_10847149	V1
S_32310898	V1
S_52344791	V2
S_66538501	V1
S_41276188	V1
S_91374715	V2
S_30066733	V2
S_46447506	V1
S_33907072	V2
S_65436175	V3
S_26543661	V2
S_48375979	V1
S_76864755	V2
S_9340444	V3
S_87656810	V2
S_34568220	V2
S_84104593	V1
S_35321665	V2
S_34043717	V1
S_48158772	V1
S_89327634	V3
S_86569606	V1
S_39608964	V1
S_77954748	V1
S_96101180	V2
S_44031288	V2
S_71538952	V4
S_40599442	V1
S_33209862	V2
S_75951626	V2
S_21066533	V1
S_71401000	V3
S_13047500	V2
S_25303362	V2
S_15187133	V1
S_24723311	V3
S_6834503	V3
S_64586536	V2
S_87750651	V2
S_78112552	V2
S_79933572	V1
S_46072170	V2
S_41598323	V1
S_81276153	V1
S_60888395	V2
S_65817668	V2
S_35966529	V1
S_27755754	V4
S_99275721	V3
S_63715832	V1
S_22107605	V2
S_13807862	V3
S_48333684	V2
S_92483371	V3
S_60277335	V2
S_97640897	V1
S_73447457	V1
S_36315963	V2
S_43715894	V1
S_15672944	V3
S_2294679	V1
S_71841039	V1
S_11215239	V2
S_45182150	V1
S_64370002	V1
S_99192022	V3
S_50063763	V1
S_48950602	V1
S_18170790	V2
S_75727272	V1
S_45935652	V1
S_51605808	V2
S_21546966	V2
S_23637155	V3
S_59975487	V2
S_57912347	V3
S_8629373	V4
S_4518517	V1
S_64636753	V1
S_92932903	V4
S_60211149	V3
S_56529173	V1
S_53076744	V3
S_98524426	V2
S_51256539	V3
S_68596019	V1
S_60552579	V2
S_24647998	V2
S_26558426	V2
S_73201651	V1
S_45804511	V2
S_18337549	V1
S_74923127	V1
S_11393776	V1
S_86589949	V1
S_61849851	V1
S_56158793	V2
S_33548954	V3
S_45860012	V1
S_50543655	V1
S_18905769	V3
S_53433429	V2
S_8452298	V3
S_28497837	V1
S_22057252	V2
S_29194257	V1
S_89614315	V2
S_45177296	V1
S_78218503	V1
S_88181283	V1
S_41899296	V3
S_7317039	V2
S_34213261	V2
S_72648867	V2
S_34423917	V2
S_63410997	V1
S_84220840	V2
S_85757033	V1
S_39744568	V3
S_38668894	V4
S_89649096	V4
S_64787259	V3
S_74366785	V3
S_60925040	V1
S_90405078	V1
S_30079285	V1
S_19934750	V1
S_88758642	V1
S_50830608	V1
S_87828695	V1
S_19730168	V3
S_76052201	V2
S_72725389	V1
S_94428756	V1
S_55217011	V1
S_71462642	V2
S_39501604	V1
S_10986439	V1
S_92802905	V1
S_29040017	V2
S_59466742	V3
S_11925699	V1
S_84210195	V1
S_32478404	V3
S_78502281	V1
S_27483312	V2
S_22645882	V2
S_52162886	V3
S_27626108	V2
S_18935664	V2
S_52339037	V4
S_56715510	V1
S_13786528	V2
S_26380392	V1
S_72075591	V3
S_96179582	V1
S_10913943	V1
S_76559045	V1
S_94848668	V1
S_82044833	V3
S_31520940	V1
S_65308365	V3
S_95382188	V1
S_95419531	V2
S_34657940	V1
S_26984936	V4
S_17379939	V1
S_32894637	V3
S_51502394	V2
S_92472877	V2
S_51585009	V3
S_26504504	V1
S_5599627	V2
S_42367769	V1
S_85546147	V2
S_35375836	V2
S_14012789	V2
S_38074199	V4
S_63510601	V2
S_39617814	V1
S_69273156	V1
S_69251927	V3
S_55935161	V4
S_43532815	V1
S_45819285	V2
S_31337882	V1
S_58257039	V2
S_91126659	V2
S_15117803	V1
S_42089714	V1
S_21881649	V3
S_43446286	V1
S_14136307	V1
S_46549547	V2
S_94352747	V1
S_76435411	V4
S_93358072	V2
S_47597170	V1
S_60755218	V3
S_49013977	V1
S_11771825	V1
S_25524956	V1
S_50352938	V2
S_37913803	V3
S_93534444	V1
S_52874621	V1
S_32397322	V2
S_28518636	V1
S_78966509	V2
S_70543788	V3
S_17337736	V2
S_7381296	V1
S_75715855	V1
S_62420592	V2
S_17788099	V3
S_7159191	V1
S_11793897	V1
S_38789918	V1
S_17761780	V2
S_30566601	V1
S_20028743	V2
S_26459831	V1
S_18941950	V1
S_48254056	V3
S_77302966	V2
S_3750925	V1
S_53203766	V1
S_88151586	V1
S_37933273	V1
S_5747953	V2
S_14724196	V3
S_32827719	V1
S_16328329	V3
S_14090588	V2
S_22909286	V3
S_23411698	V1
S_14010236	V1
S_98174781	V3
S_33374358	V1
S_51187009	V3
S_68462808	V2
S_10817741	V3
S_12771353	V1
S_5993526	V1
S_92996137	V4
S_67697510	V1
S_10390927	V3
S_49767015	V1
S_46693631	V4
S_38146436	V1
S_99118821	V2
S_18458720	V4
S_81530084	V1
S_7776217	V1
S_40644524	V2
S_14973288	V2
S_20137676	V2
S_84293819	V2
S_72271484	V2
S_27453995	V1
S_50005162	V3
S_9228275	V2
S_36034539	V3
S_96951670	V4
S_62846704	V2
S_66797206	V4
S_31936475	V3
S_41163271	V3
S_99611658	V1
S_85653152	V1
S_95401290	V2
S_81418203	V3
S_78436028	V1
S_27519934	V2
S_76453000	V3
S_98644846	V2
S_30066949	V4
S_40535759	V2
S_81401020	V2
S_8638015	V3
S_37005983	V1
S_44816653	V1
S_16514698	V2
S_58638321	V1
S_97046054	V2
S_98960482	V1
S_18468751	V2
S_54670911	V2
S_39046084	V3
S_67940240	V1
S_27660083	V3
S_47455842	V1
S_18008207	V1
S_37549756	V1
S_72815121	V1
S_49128760	V2
S_7316444	V1
S_78670075	V2
S_42413841	V1
S_98120789	V3
S_29005511	V2
S_84940331	V2
S_9141683	V1
S_88759415	V1
S_47721141	V1
S_11800995	V1
