term	estimate	std.error	statistic	p.value	conf.low	conf.high	variable	lvl	index	dataset	test_var	ref_level	outcome_subset
final_result3. Non neoplastic findings	7.720238076010225	15.069610257491025	0.512305092440764	0.608548193718309	-21.850675698840845	37.2911518508613	final_result	3. Non neoplastic findings	invsimpson	ko_hum	final_result	1. Negative	all
final_result4. Other lesions	119.00166844975475	52.567594579897055	2.263783789248433	0.023796385702270374	15.848913991440568	222.1544229080689	final_result	4. Other lesions	invsimpson	ko_hum	final_result	1. Negative	all
final_result5b. >= 3 Non-advanced adenomas	-19.608891475641737	17.73873133614955	-1.1054280660805214	0.26923430661047537	-54.4173892306368	15.199606279353329	final_result	5b. >= 3 Non-advanced adenomas	invsimpson	ko_hum	final_result	1. Negative	all
final_result5c. Advanced adenoma	6.276748226387569	14.912264092308103	0.42091182046763637	0.6739079697273722	-22.985407073365263	35.5389035261404	final_result	5c. Advanced adenoma	invsimpson	ko_hum	final_result	1. Negative	all
final_result5d. Advanced serrated	4.335722956737725	21.18374639678671	0.20467215173022446	0.837869032419399	-37.23288614622832	45.90433205970377	final_result	5d. Advanced serrated	invsimpson	ko_hum	final_result	1. Negative	all
final_result6. Cancer	0.1859813323466173	22.331808641812753	0.008328090900725206	0.9933568469709635	-43.635456415537504	44.00741908023073	final_result	6. Cancer	invsimpson	ko_hum	final_result	1. Negative	all
final_result3. Non neoplastic findings	-11.864888550666654	51.45392713710564	-0.230592477791853	0.8176775620607525	-112.83230686810262	89.10252976676932	final_result	3. Non neoplastic findings	observed	ko_hum	final_result	1. Negative	all
final_result4. Other lesions	76.46409690349017	179.48766657335318	0.4260130980768016	0.6701880054170662	-275.7423783271123	428.6705721340926	final_result	4. Other lesions	observed	ko_hum	final_result	1. Negative	all
final_result5b. >= 3 Non-advanced adenomas	-167.11803532768252	60.56741840561001	-2.759206843001308	0.005897695548473597	-285.9687472329428	-48.26732342242224	final_result	5b. >= 3 Non-advanced adenomas	observed	ko_hum	final_result	1. Negative	all
final_result5c. Advanced adenoma	-109.15227310711401	50.91668178169901	-2.143742861624314	0.0322889422765903	-209.06546136755355	-9.239084846674459	final_result	5c. Advanced adenoma	observed	ko_hum	final_result	1. Negative	all
final_result5d. Advanced serrated	-93.46679934758322	72.33013495152342	-1.2922248715590792	0.19657138580770375	-235.39934753087948	48.46574883571304	final_result	5d. Advanced serrated	observed	ko_hum	final_result	1. Negative	all
final_result6. Cancer	-78.85077712001022	76.25009771732006	-1.034107227145224	0.3013306701527187	-228.47542078337221	70.77386654335179	final_result	6. Cancer	observed	ko_hum	final_result	1. Negative	all
final_result3. Non neoplastic findings	0.008646743214433247	0.01799573142776662	0.4804885674772687	0.6309828621854656	-0.026666062709086585	0.04395954913795308	final_result	3. Non neoplastic findings	shannon	ko_hum	final_result	1. Negative	all
final_result4. Other lesions	0.09040307003144195	0.06277483609062151	1.4401163851855612	0.15014072394103115	-0.03277923087401219	0.21358537093689609	final_result	4. Other lesions	shannon	ko_hum	final_result	1. Negative	all
final_result5b. >= 3 Non-advanced adenomas	-0.03171310845320461	0.021183125478376037	-1.4970929802392803	0.13467782593736832	-0.07328049913549026	0.00985428222908103	final_result	5b. >= 3 Non-advanced adenomas	shannon	ko_hum	final_result	1. Negative	all
final_result5c. Advanced adenoma	-4.0642346590907976e-4	0.01780783278397699	-0.022822735974630706	0.9817961271541445	-0.03535051815543049	0.034537671223612336	final_result	5c. Advanced adenoma	shannon	ko_hum	final_result	1. Negative	all
final_result5d. Advanced serrated	-0.0022041509929654423	0.025297071674497455	-0.08713067746839237	0.9305847090217576	-0.05184428849227044	0.04743598650633956	final_result	5d. Advanced serrated	shannon	ko_hum	final_result	1. Negative	all
final_result6. Cancer	-0.008087854780336568	0.02666805735168691	-0.30327873806769673	0.7617391723454698	-0.06041826087677217	0.04424255131609903	final_result	6. Cancer	shannon	ko_hum	final_result	1. Negative	all
final_result3. Non neoplastic findings	1.0555803356847389	1.2993373765291627	0.8123989617726871	0.41675193194059823	-1.494093668437922	3.6052543398073995	final_result	3. Non neoplastic findings	invsimpson	mags	final_result	1. Negative	all
final_result4. Other lesions	-6.519678680315783	4.532502119485073	-1.4384281592032588	0.1506187576277998	-15.413752718693587	2.3743953580620207	final_result	4. Other lesions	invsimpson	mags	final_result	1. Negative	all
final_result5b. >= 3 Non-advanced adenomas	0.32540804961377723	1.529475297863849	0.21275796351092452	0.8315581817520513	-2.6758628114832392	3.326678910710794	final_result	5b. >= 3 Non-advanced adenomas	invsimpson	mags	final_result	1. Negative	all
final_result5c. Advanced adenoma	1.4890833216922124	1.285770618664667	1.1581251741766314	0.2470835218796893	-1.033968797712769	4.012135441097193	final_result	5c. Advanced adenoma	invsimpson	mags	final_result	1. Negative	all
final_result5d. Advanced serrated	0.5822850913062745	1.8265126302505066	0.3187960935295662	0.7499462813723691	-3.001858531184908	4.1664287137974565	final_result	5d. Advanced serrated	invsimpson	mags	final_result	1. Negative	all
final_result6. Cancer	2.2890001031671896	1.9255012676509196	1.1887814054569452	0.2348018422732196	-1.4893877241336368	6.067387930468016	final_result	6. Cancer	invsimpson	mags	final_result	1. Negative	all
final_result3. Non neoplastic findings	4.379564029238106	4.779328645950464	0.9163554870722106	0.3596966473611466	-4.998854713928984	13.757982772405196	final_result	3. Non neoplastic findings	observed	mags	final_result	1. Negative	all
final_result4. Other lesions	-4.029477223259664	16.671818735293655	-0.24169391997583337	0.8090658264617993	-36.744385297690265	28.68543085117094	final_result	4. Other lesions	observed	mags	final_result	1. Negative	all
final_result5b. >= 3 Non-advanced adenomas	-0.8005781900636556	5.625840706499717	-0.14230374300124096	0.8868681380708291	-11.840097301730994	10.238940921603684	final_result	5b. >= 3 Non-advanced adenomas	observed	mags	final_result	1. Negative	all
final_result5c. Advanced adenoma	4.9160254781294075	4.729426291361341	1.039454930740522	0.29883905617359996	-4.364470478747743	14.196521435006558	final_result	5c. Advanced adenoma	observed	mags	final_result	1. Negative	all
final_result5d. Advanced serrated	8.120296149456134	6.718427633679825	1.2086602092353678	0.22707298054027994	-5.063193062507061	21.30378536141933	final_result	5d. Advanced serrated	observed	mags	final_result	1. Negative	all
final_result6. Cancer	12.768615673294999	7.082535708224064	1.8028311044684744	0.07170922791387675	-1.129358405436566	26.666589752026564	final_result	6. Cancer	observed	mags	final_result	1. Negative	all
final_result3. Non neoplastic findings	0.05523440218925087	0.03813655412111936	1.4483322749567198	0.1478308601772409	-0.019600496279670823	0.13006930065817257	final_result	3. Non neoplastic findings	shannon	mags	final_result	1. Negative	all
final_result4. Other lesions	-0.14002305874733617	0.13303243292020478	-1.0525482822021641	0.29279686187283693	-0.4010709913696492	0.12102487387497685	final_result	4. Other lesions	shannon	mags	final_result	1. Negative	all
final_result5b. >= 3 Non-advanced adenomas	0.030789944110477047	0.04489127960723347	0.6858780676306623	0.49294555830198383	-0.057299670406816106	0.1188795586277702	final_result	5b. >= 3 Non-advanced adenomas	shannon	mags	final_result	1. Negative	all
final_result5c. Advanced adenoma	0.0877378002281552	0.037738359314371375	2.324897049637853	0.020272588787742404	0.013684274607949673	0.1617913258483607	final_result	5c. Advanced adenoma	shannon	mags	final_result	1. Negative	all
