y.level	term	estimate	std.error	statistic	p.value	conf.low	conf.high	outcome	model	dmm_test_lvl
1	grtest_level	1.1927744388387571	0.1421366276208133	1.2402296131865604	0.2148904781623569	0.9027581270412887	1.5759601817265532	detect_worthy_lesions	standard_model	V1
1	senterBærum	2.041446220781878	0.14929191328925515	4.780288983608979	1.7504340003582971e-6	1.5235630677531697	2.735366038040365	detect_worthy_lesions	standard_model	V1
1	age_invitation	1.056415908378976	0.0121119712793182	4.5312161918514855	5.864508452228651e-6	1.0316329476243549	1.0817942312196756	detect_worthy_lesions	standard_model	V1
1	kjonnMale	1.4397829114615408	0.14219656318453572	2.563299267793034	0.010368263564737391	1.0895798941382189	1.902545048131829	detect_worthy_lesions	standard_model	V1
1	wcrf_index_main	0.7813050245077161	0.07297650967729657	-3.3817683270017964	7.20208562619869e-4	0.6771780922547295	0.9014431333543181	detect_worthy_lesions	standard_model	V1
1	SmokingSmoker	1.338559323456	0.16645671457275585	1.751770149935226	0.0798133389199881	0.9659383548097423	1.854922784139675	detect_worthy_lesions	standard_model	V1
1	SmokingMissing	9.564255715044551e-6	6.262351597156624e-7	-18455491.666620463	0	9.564243975899986e-6	9.564267454203524e-6	detect_worthy_lesions	standard_model	V1
1	UtdanningHigh school	1.0617324736405058	0.20101848159969377	0.29799241616541083	0.7657089518544484	0.7159914874442342	1.5744263239869685	detect_worthy_lesions	standard_model	V1
1	UtdanningUniversity/college	1.0652401231551198	0.2108510657466936	0.29973878137550913	0.7643764146283556	0.7046456310974722	1.6103647988453493	detect_worthy_lesions	standard_model	V1
1	UtdanningMissing	0.5208345099347522	1.0580352299897104	-0.6165417828042093	0.5375370042205186	0.06547847134515983	4.142866825784956	detect_worthy_lesions	standard_model	V1
1	colo_hemorrhoidsYes	0.6459336763901925	0.1892347696592678	-2.309609641948271	0.02090977531533694	0.44577016640328343	0.9359763073904014	detect_worthy_lesions	standard_model	V1
1	colo_IBDYes	0.18288365725396005	0.5814362982468045	-2.9219109404597656	0.003478910021508207	0.05851341206837084	0.5716028327232563	detect_worthy_lesions	standard_model	V1
1	antibiotics_reg_quest_combYes	0.951559469105244	0.17857001329606859	-0.27805952919611177	0.7809666620908196	0.6705587971509495	1.3503147331613108	detect_worthy_lesions	standard_model	V1
>= 3 Non-advanced adenomas	grtest_level	1.3360587523294676	0.21304106544236492	1.359944618378832	0.17384745004497826	0.8800040536913609	2.0284599624153956	final_result_cat_neg	standard_model	V1
>= 3 Non-advanced adenomas	senterBærum	2.3524369828898886	0.2249408873810462	3.8030071579431235	1.4295022362333554e-4	1.51372843076277	3.6558471427265933	final_result_cat_neg	standard_model	V1
>= 3 Non-advanced adenomas	age_invitation	1.0886459511847189	0.018603182607509254	4.565599294784875	4.98069368125282e-6	1.049667145350759	1.1290722133013404	final_result_cat_neg	standard_model	V1
>= 3 Non-advanced adenomas	kjonnMale	1.4683374630120312	0.21727389559193497	1.7679564411710305	0.07706818596548062	0.9591400023223136	2.247862564447699	final_result_cat_neg	standard_model	V1
>= 3 Non-advanced adenomas	wcrf_index_main	0.6904770479559584	0.11178011036841058	-3.313402940914287	9.21680905493177e-4	0.5546280683840307	0.8596004799091091	final_result_cat_neg	standard_model	V1
>= 3 Non-advanced adenomas	SmokingSmoker	1.1890750391710918	0.250696176801333	0.6907792894504796	0.4897042525849248	0.7274720130479069	1.9435791665110043	final_result_cat_neg	standard_model	V1
>= 3 Non-advanced adenomas	SmokingMissing	6.644500435550544e-5	1.0746875142731278e-6	-8950635.256180711	0	6.64448643992961e-5	6.644514431200957e-5	final_result_cat_neg	standard_model	V1
>= 3 Non-advanced adenomas	UtdanningHigh school	0.8495728345713452	0.29690743675391995	-0.5490654096190982	0.5829605623188542	0.4747582811980534	1.5202978648844045	final_result_cat_neg	standard_model	V1
>= 3 Non-advanced adenomas	UtdanningUniversity/college	0.8770187615070799	0.30907043429406006	-0.42458572368468944	0.6711387020169617	0.4785503667720711	1.607274722666249	final_result_cat_neg	standard_model	V1
>= 3 Non-advanced adenomas	UtdanningMissing	0.7798328855622123	1.3202112634020389	-0.18836048322414736	0.8505940750050316	0.05864563332392179	10.369729081879049	final_result_cat_neg	standard_model	V1
>= 3 Non-advanced adenomas	colo_hemorrhoidsYes	0.5948083341770347	0.3064200271520475	-1.69543765658131	0.08999242749163444	0.3262509951361799	1.084431801529927	final_result_cat_neg	standard_model	V1
>= 3 Non-advanced adenomas	colo_IBDYes	1.064197003188257e-7	1.0328083891181816e-7	-155458411.19197166	0	1.0641967877663636e-7	1.0641972186101941e-7	final_result_cat_neg	standard_model	V1
>= 3 Non-advanced adenomas	antibiotics_reg_quest_combYes	0.9224001186160811	0.27005605078296163	-0.2991089486721283	0.7648569186224596	0.5433094049579262	1.565998988898136	final_result_cat_neg	standard_model	V1
Advanced serrated	grtest_level	0.9869051710691323	0.2730480363821648	-0.04827473686765276	0.9614972881325352	0.5779050833413678	1.6853664118189866	final_result_cat_neg	standard_model	V1
Advanced serrated	senterBærum	1.6363539838728969	0.28201565778529725	1.74625263789779	0.08076706180367713	0.9415103423264373	2.8439988815420936	final_result_cat_neg	standard_model	V1
Advanced serrated	age_invitation	1.0813964686728001	0.02347000481905054	3.3341805018542003	8.555112124200933e-4	1.03277862924825	1.1323029827884907	final_result_cat_neg	standard_model	V1
Advanced serrated	kjonnMale	1.0967019812551624	0.2696423802338556	0.34233297177942446	0.7321003249877384	0.646500131982566	1.8604098842186054	final_result_cat_neg	standard_model	V1
Advanced serrated	wcrf_index_main	0.7305460221714637	0.1387410128146353	-2.2629433250292292	0.023639183195365746	0.5566100148482781	0.9588355873474989	final_result_cat_neg	standard_model	V1
Advanced serrated	SmokingSmoker	1.9160932577747407	0.2984610508799229	2.1788047371912787	0.029346176898666476	1.0674957032047852	3.439276955839424	final_result_cat_neg	standard_model	V1
Advanced serrated	SmokingMissing	4.827699760788486e-7	4.742757189767875e-8	-306651278.03952205	0	4.827699312023243e-7	4.827700209553771e-7	final_result_cat_neg	standard_model	V1
Advanced serrated	UtdanningHigh school	1.4442608044456853	0.41528668426830057	0.8851659602494802	0.3760671284632973	0.6399601899503146	3.2594047317537713	final_result_cat_neg	standard_model	V1
Advanced serrated	UtdanningUniversity/college	2.236675427533745	0.4227415180922669	1.9042146200133883	0.0568822384248216	0.976707975311596	5.122019164978417	final_result_cat_neg	standard_model	V1
Advanced serrated	UtdanningMissing	3.260682835370381	1.3308165610256542	0.888128887753593	0.37447142522133214	0.24016816884630893	44.26919938621345	final_result_cat_neg	standard_model	V1
