outcome_var	pks_strat	term	estimate	std.error	statistic	p.value	conf.low	conf.high	y.level	test_level	pks_lab
detect_worthy_lesions	E coli detection overall	ecoli_pospresent	0.5685882815177856	0.14172453004676716	-3.983775350332872	6.78289967176494e-5	0.43008890255396576	0.7498245084818298	NA	CRC-related findings	Any E coli detected
detect_worthy_lesions	E coli detection stratified by pks status	ecoli_pospresent	0.5227110409555196	0.15437533870808165	-4.202267512319758	2.642545882556823e-5	0.3856774199824561	0.7066179750940926	NA	CRC-related findings	pks negative E coli detected
detect_worthy_lesions	E coli detection stratified by pks status	pks_classificationgenotoxic pks positive	1.3258491297003836	0.20456805173911435	1.3787739795440288	0.1679644517500796	0.88872945148070015	1.9834857204751912	NA	CRC-related findings	pks positive E coli detected
final_result_cat_neg	E coli detection overall	ecoli_pospresent	0.4294894383631148	0.21405289481555864	-3.9483611241432452	7.868804271810634e-5	0.2823256483169938	0.6533631597592284	>= 3 Non-advanced adenomas	>= 3 Non-advanced adenomas	Any E coli detected
final_result_cat_neg	E coli detection overall	ecoli_pospresent	0.747463075624218	0.2662854083537698	-1.0930766875100966	0.27436013062839065	0.44353428172611375	1.259656970025641	Advanced serrated	Advanced serrated	Any E coli detected
final_result_cat_neg	E coli detection overall	ecoli_pospresent	0.5551432657042205	0.1672132996411967	-3.5196306956804624	4.3214806310771603e-4	0.4000118500547801	0.7704372893316588	Advanced adenoma	Advanced adenoma	Any E coli detected
final_result_cat_neg	E coli detection overall	ecoli_pospresent	0.7744105170355531	0.281631724376715	-0.9077569751600002	0.3640066345266583	0.4459086364697543	1.344920460933819	Cancer	Cancer	Any E coli detected
final_result_cat_neg	E coli detection stratified by pks status	ecoli_pospresent	0.35296230132564793	0.24439497379834396	-4.261110638562485	2.0341349536576794e-5	0.21862455753245572	0.5698462586418396	>= 3 Non-advanced adenomas	>= 3 Non-advanced adenomas	pks negative E coli detected
final_result_cat_neg	E coli detection stratified by pks status	pks_classificationgenotoxic pks positive	1.8144430363904014	0.3204664456153641	1.8590980796037637	0.06301323744423999	0.9681927031280066	3.4003597854737713	>= 3 Non-advanced adenomas	>= 3 Non-advanced adenomas	pks positive E coli detected
final_result_cat_neg	E coli detection stratified by pks status	ecoli_pospresent	0.7473245793968889	0.2883135643234422	-1.0102045609046961	0.3123972945882464	0.42471374422974056	1.314989294692169	Advanced serrated	Advanced serrated	pks negative E coli detected
final_result_cat_neg	E coli detection stratified by pks status	pks_classificationgenotoxic pks positive	1.00468525035896	0.39062288863273553	0.011966295044073174	0.9904525057893432	0.4672305385670156	2.160373453722926	Advanced serrated	Advanced serrated	pks positive E coli detected
final_result_cat_neg	E coli detection stratified by pks status	ecoli_pospresent	0.5409986943221017	0.18167793221022432	-3.3814696486108056	7.209919739272596e-4	0.37892362266902163	0.7723973110904876	Advanced adenoma	Advanced adenoma	pks negative E coli detected
final_result_cat_neg	E coli detection stratified by pks status	pks_classificationgenotoxic pks positive	1.0951123541893368	0.25099537341619166	0.36198661088353695	0.7173620359041488	0.6695931916726052	1.7910442985574595	Advanced adenoma	Advanced adenoma	pks positive E coli detected
final_result_cat_neg	E coli detection stratified by pks status	ecoli_pospresent	0.6189433462020095	0.316494663567283	-1.5157966007797643	0.1295707918605882	0.3328512195127781	1.1509372456814264	Cancer	Cancer	pks negative E coli detected
final_result_cat_neg	E coli detection stratified by pks status	pks_classificationgenotoxic pks positive	1.9908086008337795	0.3808191495113651	1.8080521664066311	0.07059838189580647	0.9437906284027988	4.199362407169668	Cancer	Cancer	pks positive E coli detected
