term	Df	SumOfSqs	F	parOmegaSq	Pr(>F)	R2	test_var	ref_level	test_level	n	outcome_subset	dataset
final_result	1	0.27117961933296897	0.9025726945493262	-2.2097241314618032e-4	0.694	0.00203730951821894	final_result	1. Negative	3. Non neoplastic findings	441	all	mags
kjonn	1	0.5958315323970851	1.9831183221508044	0.00222433455350716	0.003	0.00447634396417186	final_result	1. Negative	3. Non neoplastic findings	441	all	mags
age_invitation	2	0.7231718726346799	1.2034738954787128	9.21933361026634e-4	0.088	0.00543302237480399	final_result	1. Negative	3. Non neoplastic findings	441	all	mags
senter	1	0.6287263291529541	2.092602749548507	0.0024714341356385	0.001	0.00472347493476417	final_result	1. Negative	3. Non neoplastic findings	441	all	mags
Total_Reads_QC_ATLAS	1	0.4690259467981264	1.5610686881868745	0.00127064799859672	0.006	0.00352368304098176	final_result	1. Negative	3. Non neoplastic findings	441	all	mags
final_result	1	0.3088264446047688	1.0048060031005304	2.6999288437451448e-5	0.457	0.00565069065956274	final_result	1. Negative	4. Other lesions	178	all	mags
kjonn	1	0.44335958919962337	1.4425266506244248	0.00247993938962125	0.026	0.0081122842077987	final_result	1. Negative	4. Other lesions	178	all	mags
age_invitation	2	0.5574777118231538	0.9069122175588498	-0.00104702525505959	0.742	0.01020033793785049	final_result	1. Negative	4. Other lesions	178	all	mags
senter	1	0.4323464884370338	1.4066941306044405	0.0022795900825712	0.031	0.00791077417943429	final_result	1. Negative	4. Other lesions	178	all	mags
Total_Reads_QC_ATLAS	1	0.32695559224715964	1.0637914841058342	3.5825073460557126e-4	0.302	0.00598240514528237	final_result	1. Negative	4. Other lesions	178	all	mags
final_result	1	0.35780121224037487	1.1933541504717091	6.213312331156551e-4	0.129	0.00382665597112279	final_result	1. Negative	5b. >= 3 Non-advanced adenomas	311	all	mags
kjonn	1	0.5197347265720964	1.733441843909725	0.00235278525002451	0.001	0.00555852223748436	final_result	1. Negative	5b. >= 3 Non-advanced adenomas	311	all	mags
age_invitation	2	0.5470391160117885	0.9122543150084084	-5.645995251683177e-4	0.729	0.00585054054629061	final_result	1. Negative	5b. >= 3 Non-advanced adenomas	311	all	mags
senter	1	0.5454576371833753	1.8192340131088611	0.00262727222617197	0.002	0.00583362675395308	final_result	1. Negative	5b. >= 3 Non-advanced adenomas	311	all	mags
